Unique ID,Revised Name,Unique ID,Code,Category,Pieces,Quantity,Unit,Supplier,Remarks
206,METER - (500V/60A) ANALOG,,,METER,1,,PCS,OMKAR/AJAY,
207,METER - 72*72 A (0-30) ANALOG,,,METER,50,,BOX,AUTO SECTION(JYOTI/LEENA/SNEHA),
208,METER - 72*72 V (0-500) ANALOG,,,METER,10,,BOX,KUNAL,
209,METER - 96*96 A (0-30) ANALOG,,,METER,10,,BOX,KUNAL,
210,METER - 96*96 A (0-50) ANALOG,,,METER,10,,BOX,OMKAR/AJAY,
211,METER - 96*96 V (0-500) ANALOG,,,METER,10,,BOX,OMKAR/AJAY,
212,METER - DIGITAL (BIG) 96*96,,,METER,50,,BOX,KUNAL,
213,METER - DIGITAL (MIX METER),,,METER,1,,BOX,KUNAL,
214,METER - ROUND KISAN A (1000V) (0-300),,,METER,1,,BOX,AUTO SECTION(JYOTI/LEENA/SNEHA),
215,METER - ROUND KISAN V (100A) (0-30),,,METER,1,,BOX,AUTO SECTION(JYOTI/LEENA/SNEHA),
216,MK1 RELAY (BLACK) - 9/14,,,MK1 RELAY (BLACK),10,,BOX,GAURAV,
217,MK1 RELAY (BLACK) - 1/2.5,,,MK1 RELAY (BLACK),10,,BOX,AUTO SECTION(JYOTI/LEENA/SNEHA),
218,MK1 RELAY (BLACK) - 11/18,,,MK1 RELAY (BLACK),10,,BOX,GAURAV,
219,MK1 RELAY (BLACK) - 13/22,,,MK1 RELAY (BLACK),10,,BOX,AUTO SECTION(JYOTI/LEENA/SNEHA),
220,MK1 RELAY (BLACK) - 4/6.5,,,MK1 RELAY (BLACK),10,,BOX,GAURAV,
221,MK1 RELAY (BLACK) - 6/10,,,MK1 RELAY (BLACK),10,,BOX,GAURAV,
222,MK1 RELAY(BLACK) - 20/32,,,MK1 RELAY (BLACK),10,,BOX,AUTO SECTION(JYOTI/LEENA/SNEHA),
223,MK2 DMC RELAY (WHITE) - 11/18,,,MK2 DMC RELAY (WHITE),10,,BOX,SUMIT DESIGHNER (AUTO SECTION),
